part_number,machine_id,production_date,shift_name,operator_id,material_lot,scheduled_start_timestamp,actual_start_timestamp,end_timestamp,cycle_time_sec,ideal_cycle_time_sec,takt_time_sec,maintenance_performed,maintenance_duration_min,unplanned_downtime_min,downtime_reason,total_downtime_min,tool_id,tool_wear,tool_replaced,machine_deterioration,bore_offset_drift_before_correction_mm,bore_inspected,measured_bore_deviation_mm,offset_correction_performed,bore_offset_correction_mm,bore_offset_after_correction_mm,material_hardness_effect,material_machinability_effect,residual_stress_effect,operator_setup_bias_mm,operator_seating_error,spindle_speed_rpm,feed_rate_mm_rev,coolant_flow_l_min,cutting_force_n,spindle_load_pct,temperature_c,vibration_mm_s,bore_diameter_mm,surface_roughness_um,flatness_mm,burr_height_mm,bore_lsl_mm,bore_usl_mm,roughness_usl_um,flatness_usl_mm,burr_usl_mm,bore_pass,roughness_pass,flatness_pass,burr_pass,first_pass_good,defect_count,defect_type,disposition,good_after_disposition,scrap_unit,rework_unit
1,CNC-01,2026-07-21,Shift 1,OP-A,LOT-001,2026-07-21 06:00:00.000000,2026-07-21 06:00:00.000000,2026-07-21 06:01:34.334146,94.33414642194326,90.0,105.0,False,0.0,0.0,None,0.0,CNC-01-T001,0.002356521635233234,False,0.0,0.0,False,,False,0.0,0.0,0.2285378098158235,-0.6759896690563221,0.4350812152451623,0.001222734131308578,0.031224120283654087,2432.0573331518717,0.18318382111708667,12.029713813902546,398.9548801274172,63.981490158688274,39.531782809646856,2.4494719686253945,24.99833950577929,0.8498635470842268,0.01681820199674505,0.0204045463733048,24.95,25.05,1.6,0.04,0.08,True,True,True,True,True,0,None,Good,True,False,False
2,CNC-02,2026-07-21,Shift 1,OP-A,LOT-001,2026-07-21 06:00:00.000000,2026-07-21 06:00:00.000000,2026-07-21 06:01:32.620656,92.620655733211,90.0,105.0,False,0.0,0.0,None,0.0,CNC-02-T001,0.0026320223426301768,False,0.0,0.0,False,,False,0.0,0.0,0.2285378098158235,-0.6759896690563221,0.4350812152451623,0.001222734131308578,0.031224120283654087,2419.9092255260402,0.18132825569729477,12.185729675218195,390.42917587802,67.28093763642592,39.838603220874205,2.044169452971038,25.01126489459819,0.6806229965776239,0.02483470978195363,0.020682134766828446,24.95,25.05,1.6,0.04,0.08,True,True,True,True,True,0,None,Good,True,False,False
3,CNC-03,2026-07-21,Shift 1,OP-A,LOT-001,2026-07-21 06:00:00.000000,2026-07-21 06:00:00.000000,2026-07-21 06:01:42.468256,102.46825589723821,90.0,105.0,False,0.0,0.0,None,0.0,CNC-03-T001,0.0031244306429665603,False,0.0,0.0,False,,False,0.0,0.0,0.2285378098158235,-0.6759896690563221,0.4350812152451623,0.001222734131308578,0.031224120283654087,2377.9855642765683,0.18072848336145664,12.052508614113327,387.86738969594245,64.37117584780343,40.3746031149982,2.311281936138025,24.99314641695044,0.7074711226942465,0.022450458127153645,0.007130726199236199,24.95,25.05,1.6,0.04,0.08,True,True,True,True,True,0,None,Good,True,False,False
4,CNC-04,2026-07-21,Shift 1,OP-A,LOT-001,2026-07-21 06:00:00.000000,2026-07-21 06:00:00.000000,2026-07-21 06:01:33.551665,93.55166522048852,90.0,105.0,False,0.0,0.0,None,0.0,CNC-04-T001,0.003647913516577621,False,0.0,0.0,False,,False,0.0,0.0,0.2285378098158235,-0.6759896690563221,0.4350812152451623,0.001222734131308578,0.031224120283654087,2370.9743149824094,0.18404101000331807,11.242708602772888,381.6220523457535,62.531049098789914,41.28514753694365,2.0668969792559477,25.006425136965763,0.5455513396549794,0.013013706001332516,0.0311032237480917,24.95,25.05,1.6,0.04,0.08,True,True,True,True,True,0,None,Good,True,False,False
5,CNC-05,2026-07-21,Shift 1,OP-A,LOT-001,2026-07-21 06:00:00.000000,2026-07-21 06:00:00.000000,2026-07-21 06:01:40.097874,100.09787427355947,90.0,105.0,False,0.0,0.0,None,0.0,CNC-05-T001,0.0030991342046282734,False,0.0,0.0,False,,False,0.0,0.0,0.2285378098158235,-0.6759896690563221,0.4350812152451623,0.001222734131308578,0.031224120283654087,2406.2633047941426,0.18279094150096137,11.80773630914856,387.35975777112077,63.807487966428575,40.12765435204535,2.263234267836091,24.995216979352644,0.6276135728472201,0.019561880512262934,0.010237613073466689,24.95,25.05,1.6,0.04,0.08,True,True,True,True,True,0,None,Good,True,False,False
6,CNC-01,2026-07-21,Shift 1,OP-A,LOT-001,2026-07-21 06:01:34.334146,2026-07-21 06:01:34.334146,2026-07-21 06:03:17.623792,103.28964565900125,90.0,105.0,False,0.0,0.0,None,0.0,CNC-01-T001,0.005427809577448406,False,0.00023645657086961315,1.8729988048303635e-05,False,,False,0.0,1.8729988048303635e-05,0.2285378098158235,-0.6759896690563221,0.4350812152451623,0.001222734131308578,0.031224120283654087,2424.5668828457206,0.179240572727364,11.809090137752566,384.3490983865136,58.58534709696697,38.933020648624115,2.1728521129209266,24.997852457259125,0.7578771814398744,0.011001622897857503,0.017860991797373466,24.95,25.05,1.6,0.04,0.08,True,True,True,True,True,0,None,Good,True,False,False
7,CNC-02,2026-07-21,Shift 1,OP-A,LOT-001,2026-07-21 06:01:32.620656,2026-07-21 06:01:32.620656,2026-07-21 06:03:09.173429,96.55277272923823,90.0,105.0,False,0.0,0.0,None,0.0,CNC-02-T001,0.005344727481201683,False,0.00014196763866649787,0.0002051185575649402,False,,False,0.0,0.0002051185575649402,0.2285378098158235,-0.6759896690563221,0.4350812152451623,0.001222734131308578,0.031224120283654087,2368.0276321098027,0.17815810856610387,12.37788312010623,364.4563203030064,62.357331186726164,40.11387976862637,2.0097132720513344,25.00835387788963,0.6206052288355847,0.013557857608011044,0.023965225346502066,24.95,25.05,1.6,0.04,0.08,True,True,True,True,True,0,None,Good,True,False,False
8,CNC-03,2026-07-21,Shift 1,OP-A,LOT-001,2026-07-21 06:01:42.468256,2026-07-21 06:01:42.468256,2026-07-21 06:03:25.408719,102.94046346003063,90.0,105.0,False,0.0,0.0,None,0.0,CNC-03-T001,0.006048728037591237,False,0.0001902443485197026,-0.00016499801268380157,False,,False,0.0,-0.00016499801268380157,0.2285378098158235,-0.6759896690563221,0.4350812152451623,0.001222734131308578,0.031224120283654087,2408.9782879706845,0.18580010149623838,12.375457620834226,390.3359074016298,65.78580902637027,38.915307030853704,2.1138690223318726,24.98703113226529,0.6175954297157037,0.00879718360981127,0.029417197088015757,24.95,25.05,1.6,0.04,0.08,True,True,True,True,True,0,None,Good,True,False,False
9,CNC-04,2026-07-21,Shift 1,OP-A,LOT-001,2026-07-21 06:01:33.551665,2026-07-21 06:01:33.551665,2026-07-21 06:03:08.707965,95.15630039072738,90.0,105.0,False,0.0,0.0,None,0.0,CNC-04-T001,0.006934578924318233,False,0.00011172941029986234,-0.00013366020996048727,False,,False,0.0,-0.00013366020996048727,0.2285378098158235,-0.6759896690563221,0.4350812152451623,0.001222734131308578,0.031224120283654087,2471.1639852408853,0.19279613850468938,12.18628313203566,374.9977369715798,57.18523431668946,41.10685635158497,1.911404952652075,24.999932803218435,0.49413320546419204,0.015200878810871652,0.03544883135411274,24.95,25.05,1.6,0.04,0.08,True,True,True,True,True,0,None,Good,True,False,False
10,CNC-05,2026-07-21,Shift 1,OP-A,LOT-001,2026-07-21 06:01:40.097874,2026-07-21 06:01:40.097874,2026-07-21 06:03:13.970645,93.87277111165824,90.0,105.0,False,0.0,0.0,None,0.0,CNC-05-T001,0.0056573606500366445,False,0.00016310151575270196,-3.975105862901626e-05,False,,False,0.0,-3.975105862901626e-05,0.2285378098158235,-0.6759896690563221,0.4350812152451623,0.001222734131308578,0.031224120283654087,2399.3960147530315,0.18763944201876587,12.058329951934443,398.00227967716006,61.812875530054214,39.086668169110396,2.0306591920963437,24.9942947119497,0.8490683787901546,0.01657308428030451,0.03187245301326403,24.95,25.05,1.6,0.04,0.08,True,True,True,True,True,0,None,Good,True,False,False
